idx,created_date,updated_date,name_ko,name_en,summary,thumbnail,user_grade
1,2023-03-01 12:00:00.000000,,에티오피아 예가체프 G2 워시드 (중배전),Ethiopia Yega Chef G2,"산미와 꽃 향기가 조화를 이루며, 원두의 맛을 최대한 살리기 위해 노력합니다.",default_bean.png,0
2,2023-03-01 12:43:12.000000,,과테말라 안티구아 SHB 워시드 (강배전),Guatemala Antigua SHB,"한국인들은 단맛을 좋아해서 부드럽고 달콤한 커피를 선호하며, 지역의 풍토가 커피 맛에 영향을 미친다.",default_bean.png,0
3,2023-03-01 13:26:24.000000,,에티오피아 코케 G1 펄프드내추럴 (중배전),Ethiopia Koke G1,"산미(신맛)이 높고 향이 풍부하며, 반대로 바디감과 쓴맛은 적습니다. 또한 허니 프로세싱의 단맛이 훌륭하여 인기가 높습니다. G로스팅은 최고의 맛과 향이 조화를 이룬 커피를 지향 합니다.",default_bean.png,0
4,2023-03-01 14:09:36.000000,,케냐 키암부 AA 워시드 (중배전),Kenya Kyambu AA,"산미(신맛)가 적은 커피이며, 클린한 바디감의 고소함이 좋습니다. 고급스러운 고소함을 추구하는 분들이 선호하는 커피입니다.",default_bean.png,0
5,2023-03-01 14:52:48.000000,,콜롬비아 콜롬비아 SUPREMO 워시드 (중배전),Colombia Colombian SUPREMO,"부드럽고 마일드한 맛과 깊은향으로 누구나 쉽게 즐길수 있는 커피입니다. 메이플시럽의 단맛과 곡물에서 느껴지는 구수함, 헤이즐넛이 연상되는 향미과 특징입니다.",default_bean.png,0
6,2023-03-01 15:36:00.000000,,페루 피우라 MICRO LOT 워시드 (중배전),Perufura Micro LOT,"고소함을 추구하는 분들이 선호하는 산뜻하고 가벼운 카라멜, 땅콩 맛의 커피입니다.",default_bean.png,0
7,2023-03-01 16:19:12.000000,,브라질 세하도 NY2 FC 내추럴 (중배전),Brazilian Sehado NY2 FC,신맛이 거의 없는 원두로 구수한 흙내음의 깊은 단맛이 좋습니다. 구수함이 높고 고소함은 적습니다.,default_bean.png,0
8,2023-03-01 17:02:24.000000,,케냐 키암부 FAQ 워시드 (중배전),Kenya Kyam FAQ,강한 산미와 베리류의 풍미가 특징인 커피.,default_bean.png,0
9,2023-03-01 17:45:36.000000,,파나마 보케테 SPECIALTY 워시드 (중배전),Panama Bokette SPECIALTY,"초콜릿향과 쓴맛, 단맛이 특징인 다양한 향의 커피.",default_bean.png,0
10,2023-03-01 18:28:48.000000,,브라질 세하도 NY2 FC 펄프드내추럴 (중배전),"Sehado, Brazil, NY2 FC","신맛이 적고 깊은 단맛과 구수한 흙내음이 좋은 원두이며, 고소함은 적습니다.",default_bean.png,0
